epoch,epoch_steps,epoch_rewards,epoch_time,epoch_avg_q,total_steps,epsilon,beta,memory_len,total_run_time,dueling,noisy_net,pretraining_steps
544,134,12.08999999999997,0 days 00:00:32.773635,1.6987239,16173,1,0.4145600000000146,16173,0 days 01:05:33.864194,True,True,10000
545,139,12.589999999999968,0 days 00:00:21.625517,2.1048598,16313,1,0.4149000000000149,16313,0 days 01:05:59.117145,True,True,10000
546,164,15.089999999999957,0 days 00:00:31.385514,2.1280677,16478,1,0.4153000000000153,16478,0 days 01:06:34.128308,True,True,10000
547,192,17.889999999999997,0 days 00:00:36.176101,2.1350045,16671,1,0.4157800000000158,16671,0 days 01:07:13.921167,True,True,10000
548,123,10.989999999999974,0 days 00:00:31.889448,2.3007824,16795,1,0.4160800000000161,16795,0 days 01:07:49.435336,True,True,10000
549,156,14.289999999999962,0 days 00:00:35.967202,2.3571203,16952,1,0.4164600000000165,16952,0 days 01:08:29.015002,True,True,10000
550,90,7.689999999999985,0 days 00:00:21.562930,2.2986023,17043,1,0.4166800000000167,17043,0 days 01:08:54.194652,True,True,10000
551,112,9.889999999999977,0 days 00:00:25.238286,2.615157,17156,1,0.416960000000017,17156,0 days 01:09:23.055083,True,True,10000
552,66,5.289999999999994,0 days 00:00:16.669356,2.9941833,17223,1,0.41712000000001714,17223,0 days 01:09:43.354134,True,True,10000
553,266,25.290000000000102,0 days 00:00:40.665466,2.8168876,17490,1,0.4177800000000178,17490,0 days 01:10:27.633655,True,True,10000
554,82,6.889999999999988,0 days 00:00:09.586351,2.9355514,17573,1,0.417980000000018,17573,0 days 01:10:40.839096,True,True,10000
555,245,23.190000000000072,0 days 00:00:48.860486,3.1498582,17819,1,0.4185800000000186,17819,0 days 01:11:33.314422,True,True,10000
556,189,17.589999999999993,0 days 00:00:37.252282,3.8458328,18009,1,0.41904000000001906,18009,0 days 01:12:14.190751,True,True,10000
557,56,4.289999999999997,0 days 00:00:05.704245,3.7205205,18066,1,0.4191800000000192,18066,0 days 01:12:23.511858,True,True,10000
558,287,27.390000000000132,0 days 00:00:50.421071,3.3473165,18354,1,0.4198800000000199,18354,0 days 01:13:17.546573,True,True,10000
559,138,12.489999999999968,0 days 00:00:25.864302,3.5824125,18493,1,0.42022000000002024,18493,0 days 01:13:47.024486,True,True,10000
560,144,13.089999999999966,0 days 00:00:19.068887,3.726129,18638,1,0.4205800000000206,18638,0 days 01:14:09.715588,True,True,10000
561,115,10.189999999999976,0 days 00:00:17.865594,4.0492854,18754,1,0.4208600000000209,18754,0 days 01:14:31.194980,True,True,10000
562,336,32.290000000000205,0 days 00:00:56.266434,3.873625,19091,1,0.4217000000000217,19091,0 days 01:15:31.079692,True,True,10000
563,114,10.089999999999977,0 days 00:00:14.126074,4.2418036,19206,1,0.421980000000022,19206,0 days 01:15:48.825640,True,True,10000
564,433,41.99000000000034,0 days 00:01:08.457837,4.265187,19640,1,0.4230600000000231,19640,0 days 01:17:00.907490,True,True,10000
565,209,19.59000000000002,0 days 00:00:43.060847,5.047424,19850,1,0.4235800000000236,19850,0 days 01:17:47.597170,True,True,10000
566,301,28.790000000000152,0 days 00:00:54.587684,4.7668138,20152,1,0.42432000000002434,20152,0 days 01:18:45.808662,True,True,10000
567,248,23.490000000000077,0 days 00:00:55.284115,5.2857437,20401,1,0.42494000000002496,20401,0 days 01:19:44.706951,True,True,10000
568,145,13.189999999999966,0 days 00:00:19.741921,5.2656465,20547,1,0.4253000000000253,20547,0 days 01:20:08.067527,True,True,10000
569,282,26.890000000000125,0 days 00:00:47.552424,5.4588933,20830,1,0.426000000000026,20830,0 days 01:20:59.245783,True,True,10000
570,319,30.590000000000177,0 days 00:00:57.172174,5.66477,21150,1,0.4267800000000268,21150,0 days 01:22:00.033855,True,True,10000
571,374,36.09000000000026,0 days 00:00:59.575166,6.0032682,21525,1,0.4277000000000277,21525,0 days 01:23:03.222973,True,True,10000
572,394,38.09000000000029,0 days 00:01:09.615840,6.035924,21920,1,0.4286800000000287,21920,0 days 01:24:16.465607,True,True,10000
573,422,40.89000000000033,0 days 00:01:01.416903,6.4135013,22343,1,0.42972000000002974,22343,0 days 01:25:21.502335,True,True,10000
574,428,41.490000000000336,0 days 00:01:19.009629,6.234951,22772,1,0.4307800000000308,22772,0 days 01:26:44.131708,True,True,10000
575,268,25.490000000000105,0 days 00:00:47.895513,6.136349,23041,1,0.43144000000003146,23041,0 days 01:27:35.654751,True,True,10000
576,509,49.59000000000045,0 days 00:01:20.500659,6.571025,23551,1,0.4327000000000327,23551,0 days 01:28:59.778464,True,True,10000
577,306,29.29000000000016,0 days 00:00:47.742286,6.8237114,23858,1,0.4334600000000335,23858,0 days 01:29:51.139035,True,True,10000
